[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
PerformedProcedureStepDescription: TEXT | Performed Procedure Step Description. Examples: MRI BRAIN W/ENHANCEMENT, IC MRI ABD WO+W CON
PatientAge: NUMBER | Patient Age. Examples: 52, 60, 65, 70 (or null)
DCMFileName: TEXT | DCM FileName. Examples: 058.dcm, 273.dcm, 1203.dcm, 093.dcm
ProtocolName: TEXT | Protocol Name. Examples: TVP EXCITE SURGICAL/9, TVP Surgical/, ROUTINE BRAIN/
StudyInstanceUID: TEXT | StudyInstanceUID. Example: 1.3.6.1.4.1.14519.5.2.1.7695.4001.163028456110647174493384721797
ContentTime: FLOAT | Content Time. Example: 100545.0
SeriesInstanceUID: TEXT | Series Instance UID. Example: 1.2.826.0.1.3680043.2.1322.2.2837147000.102512129439.0
Rows: NUMBER | Rows. Example: 128
SeriesNumber: NUMBER | Series Number. Examples: 800, 501, 15, 362
AdditionalPatientHistory: TEXT | Additional Patient History. Examples: RENAL MASSCIRROHIS1A, BRAIN LAB, liver lesion
SpacingBetweenSlices: FLOAT | Spacing Between Slices. DICOM has an attribute called Spacing Between Slices (0018, 0088) that gives the distance between two adjacent slices (perpendicular to the image plane) and it also has an attribute called Slice Thickness (0018, 0050) that gives the thickness of the imaged slice (the image plane exists at the center of the slice, with half of the volume above the plane and half below). Image Position (Patient) (0020, 0032) and Image Orientation (Patient) (0020, 0037) are also useful attributes for computing spatial relationships between slices. For a more detailed explanation, see section C.7.6.2 of part 3 of the DICOM standard. (p. 409) WARNING: Please be aware that different vendors use the same dicom tags for addressing different things. For instance, the attribute Spacing Between Slices (0018, 0088) means two different things depending on the vendor.Examples: 4.5, 6.0, 7.5, 12.0. 69.2, 5.1
SOPClassUID: TEXT | SOP Class UID. Examples: MR Image Storage, Nuclear Medicine Image Storage, Positron Emission Tomography Image Storage, CT Image Storage, Digital Mammography X-Ray Image Storage - For Processing
Modality: TEXT | Modality. Examples: MR, DT, PT, OT, CTPT, DX, NM
PixelRepresentation: NUMBER | Pixel Representation. Either 0 or 1
MRAcquisitionType: TEXT | MR Acquisition Type.Either 2D or 3D (or null)
AcquisitionNumber: NUMBER | Acquisition Number. Examples:3008, 2001, 37, 15, 1, 61
InstanceNumber: NUMBER | Instance Number. Examples: 28, 35, 236, 195, 143
BodyPartExamined: TEXT | Body Part Examined. Examples: BRAIN, BLADDER, COLON, CHEST, LUNG, PROSTRATE
SOPInstanceUID: TEXT | SOP Instance UID. Example: 1.3.6.1.4.1.14519.5.2.1.6450.4007.621199411198673382052605519396
SeriesTime: FLOAT | Series Time. Examples: 92042.0, 121428.0. (may be null)
StudyDate: NUMBER | Study Date. Example: 20001225
ReconstructionDiameter: FLOAT | Reconstruction Diameter. Examples: 160.0, 222.0, 500.0, 700.00 (may be null)
ZipFileName: TEXT | Zip File Name. Example: gs://isb-tcia-open/images/TCGA-GBM/TCGA-06-0137/TCIA.image.1.2.826.0.1.3680043.2.1322.2.2834599022.102511191651.0.zip
PatientID: TEXT | Patient ID. Example: TCGA-08-0352
PatientWeight: FLOAT | Patient Weight. Examples: 91.0, 127.0, 53.118
Manufacturer: TEXT | Manufacturer. Examples: SIEMENS, GE MEDICAL SYSTEMS
ContentDate: NUMBER | Content Date. Example: 20061117
PatientIdentityRemoved: TEXT | Patient Identity Removed. Will always be YES
SeriesDescription: TEXT | Series Description. Examples: AXIAL FSE, SAG T1 (FLAIR), COR T1 POST GD FLAIR, Exponential Apparent Diffusio
RepetitionTime: FLOAT | Repetition Time. The repetition time (TR) is the length of time between corresponding consecutive points on a repeating series of pulses and echoes.Examples: 1700.00, 4000.0, 23.1, 466.664
Columns: NUMBER | Columns. Examples: 128, 256, 64, 160
FlipAngle: FLOAT | Flip Angle. This term,also called tip angle, is the amount of rotation the net magnetization (M) experiences during application of a radiofrequency (RF) pulse.Examples: 90.0, 30.0, 45.0
AcquisitionTime: FLOAT | Acquisition Time. Example: 160921.0
PatientPosition: TEXT | Patient Position. Examples: HFS, FFS, HFP, FFP, HFDL, FFDL, FF_SUPINE, FFDR, FF_DEC RIGHT
BitsStored: NUMBER | Bits Stored. Examples: 8, 10, 12, 13, 14, 15, 16
StudyDescription: TEXT | Study Description. Examples: CT CHEST ABD PELVIS W/ CONTR, PET,HEAD & NECK CA RES
AccessionNumber: NUMBER | Accession Number. Example: 1746145767942571

## TCGA_VERSIONED.CLINICAL_GDC_R27
diag__ajcc_pathologic_t: TEXT | Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__masaoka_stage: TEXT | The text term used to describe the Masaoka staging system, a classification that defines prognostic indicators for thymic malignancies and predicts tumor recurrence.
diag__ajcc_clinical_stage: TEXT | Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.
demo__state: TEXT | The current state of the object.
diag__ajcc_pathologic_stage: TEXT | The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.
diag__days_to_last_follow_up: FLOAT | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.
exp__created_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__state: TEXT | The current state of the object.
diag__progression_or_recurrence: TEXT | Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__prior_malignancy: TEXT | The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis.
diag__morphology: TEXT | The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data.
diag__ajcc_clinical_n: TEXT | Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
exp__weight: FLOAT | The weight of the patient measured in kilograms.
diag__site_of_resection_or_biopsy: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
state: TEXT | The current state of the object.
diag__ann_arbor_b_symptoms: TEXT | Text term to signify whether lymphoma B-symptoms are present as noted in the patient's medical record.
diag__synchronous_malignancy: TEXT | A yes/no/unknown indicator used to describe whether the patient had an additional malignant diagnosis at the same time the tumor used for sequencing was diagnosed. If both tumors were sequenced, both tumors would have synchronous malignancies.
exp__cigarettes_per_day: FLOAT | The average number of cigarettes smoked per day.
exp__exposure_id: TEXT | GDC-assigned identifier for a case's exposure data.
diag__ajcc_staging_system_edition: TEXT | The text term used to describe the version or edition of the American Joint Committee on Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.
diag__secondary_gleason_grade: TEXT | The text term used to describe the secondary Gleason score, which describes the pattern of cells making up the second largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
demo__year_of_death: NUMBER | Numeric value to represent the year of the death of an individual.
diag__tissue_or_organ_of_origin: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
exp__alcohol_history: TEXT | A response to a question that asks whether the participant has consumed at least 12 drinks of any kind of alcoholic beverage in their lifetime.
exp__updated_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
exp__bmi: FLOAT | A calculated numerical quantity that represents an individual's weight to height ratio.
diag__last_known_disease_status: TEXT | Text term that describes the last known state or condition of an individual's neoplasm.
submitter_id: TEXT | The submitter_id of a case entity corresponds to the submitted_subject_id of the study participant in dbGaP records for the project.
diag__ann_arbor_clinical_stage: TEXT | The text term used to describe the clinical classification of lymphoma, as defined by the Ann Arbor Lymphoma Staging System.
diag__primary_diagnosis: TEXT | Text term used to describe the patient's histologic diagnosis, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
demo__year_of_birth: NUMBER | Numeric value to represent the calendar year in which an individual was born.
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
diag__ajcc_clinical_m: TEXT | Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
exp__height: FLOAT | The height of the patient in centimeters.
exp__pack_years_smoked: FLOAT | Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.
diag__updated_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__ajcc_pathologic_m: TEXT | Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).
diag__created_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__ann_arbor_extranodal_involvement: TEXT | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
diag__ajcc_clinical_t: TEXT | Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
diag__figo_stage: TEXT | The extent of a cervical or endometrial cancer within the body, especially whether the disease has spread from the original site to other parts of the body, as described by the International Federation of Gynecology and Obstetrics (FIGO) stages.
diag__igcccg_stage: TEXT | The text term used to describe the International Germ Cell Cancer Collaborative Group (IGCCCG), a grouping used to further classify metastatic testicular tumors.
demo__created_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__prior_treatment: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected.
diag__icd_10_code: TEXT | Alphanumeric value used to describe the  disease code from the tenth version of the International Classification of Disease (ICD-10).
demo__days_to_death: FLOAT | Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days.
diag__ajcc_pathologic_n: TEXT | The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.
diag__treat__count: NUMBER | Total child record count (located in cases table).
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
demo__days_to_birth: FLOAT | Number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days.
demo__demographic_id: TEXT | GDC-assigned identifier for a case's demographic data.
diag__tumor_stage: TEXT | The extent of a cancer in the body. Staging is usually based on the size of the tumor, whether lymph nodes contain cancer, and whether the cancer has spread from the original site to other parts of the body. The accepted values for tumor_stage depend on the tumor site, type, and accepted staging system. These items should accompany the tumor_stage value as associated metadata.
demo__updated_datetime: TEXT | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
demo__gender: TEXT | Text designations that identify gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles. [Explanatory Comment 1: Identification of gender is based upon self-report and may come from a form, questionnaire, interview, etc.]
diag__primary_gleason_grade: TEXT | The text term used to describe the primary Gleason score, which describes the pattern of cells making up the largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
diag__classification_of_tumor: TEXT | Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint.
proj__name: TEXT | Display name for the project to which a case belongs.
proj__project_id: TEXT | GDC-assigned identifier for the project to which a case belongs.
demo__ethnicity: TEXT | An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.
diag__year_of_diagnosis: NUMBER | Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer.
diag__age_at_diagnosis: NUMBER | Age at the time of diagnosis expressed in number of days since birth.
exp__years_smoked: FLOAT | Numeric value (or unknown) to represent the number of years a person has been smoking.
updated_datetime: TEXT | Timestamp of last update in GDC; formatted as a combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm].
diag__tumor_grade: TEXT | Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.
demo__vital_status: TEXT | The survival state of the person registered on the protocol.
demo__race: TEXT | An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.
exp__state: TEXT | The current state of the object.
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.

## TCGA_VERSIONED.CLINICAL_GDC_R29
exp__weight: FLOAT | The weight of the patient measured in kilograms.
diag__year_of_diagnosis: NUMBER | Numeric value to represent the year of an individual's initial pathologic diagnosis of cancer.
diag__updated_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__progression_or_recurrence: TEXT | Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment.
exp__bmi: FLOAT | A calculated numerical quantity that represents an individual's weight to height ratio.
exp__updated_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__ajcc_clinical_m: TEXT | Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
updated_datetime: NUMBER | Timestamp of last update in GDC; formatted as a combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm].
diag__igcccg_stage: TEXT | The text term used to describe the International Germ Cell Cancer Collaborative Group (IGCCCG), a grouping used to further classify metastatic testicular tumors.
diag__age_at_diagnosis: NUMBER | Age at the time of diagnosis expressed in number of days since birth.
diag__prior_malignancy: TEXT | The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis.
demo__race: TEXT | An arbitrary classification of a taxonomic group that is a division of a species. It usually arises as a consequence of geographical isolation within a species and is characterized by shared heredity, physical attributes and behavior, and in the case of humans, by common history, nationality, or geographic distribution. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__primary_diagnosis: TEXT | Text term used to describe the patient's histologic diagnosis, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__site_of_resection_or_biopsy: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
demo__ethnicity: TEXT | An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.
diag__classification_of_tumor: TEXT | Text that describes the kind of disease present in the tumor specimen as related to a specific timepoint.
diag__ajcc_pathologic_m: TEXT | Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).
demo__updated_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
demo__days_to_death: NUMBER | Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days.
diag__morphology: TEXT | The third edition of the International Classification of Diseases for Oncology, published in 2000 used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms. The study of the structure of the cells and their arrangement to constitute tissues and, finally, the association among these to form organs. In pathology, the microscopic process of identifying normal and abnormal morphologic characteristics in tissues, by employing various cytochemical and immunocytochemical stains. A system of numbered categories for representation of data.
diag__tissue_or_organ_of_origin: TEXT | The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
exp__alcohol_history: TEXT | A response to a question that asks whether the participant has consumed at least 12 drinks of any kind of alcoholic beverage in their lifetime.
diag__ajcc_staging_system_edition: TEXT | The text term used to describe the version or edition of the American Joint Committee on Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.
state: TEXT | The current state of the object.
demo__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__ajcc_pathologic_n: TEXT | The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.
demo__year_of_death: NUMBER | Numeric value to represent the year of the death of an individual.
demo__state: TEXT | The current state of the object.
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
diag__ann_arbor_b_symptoms: TEXT | Text term to signify whether lymphoma B-symptoms are present as noted in the patient's medical record.
diag__ajcc_clinical_stage: TEXT | Stage group determined from clinical information on the tumor (T), regional node (N) and metastases (M) and by grouping cases with similar prognosis for cancer.
exp__years_smoked: FLOAT | Numeric value (or unknown) to represent the number of years a person has been smoking.
demo__year_of_birth: NUMBER | Numeric value to represent the calendar year in which an individual was born.
diag__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__tumor_grade: TEXT | Numeric value to express the degree of abnormality of cancer cells, a measure of differentiation and aggressiveness.
exp__cigarettes_per_day: FLOAT | The average number of cigarettes smoked per day.
diag__prior_treatment: TEXT | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received before the body specimen was collected.
diag__ajcc_pathologic_t: TEXT | Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).
diag__primary_gleason_grade: TEXT | The text term used to describe the primary Gleason score, which describes the pattern of cells making up the largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
submitter_id: TEXT | The submitter_id of a case entity corresponds to the submitted_subject_id of the study participant in dbGaP records for the project.
diag__tumor_stage: TEXT | The extent of a cancer in the body. Staging is usually based on the size of the tumor, whether lymph nodes contain cancer, and whether the cancer has spread from the original site to other parts of the body. The accepted values for tumor_stage depend on the tumor site, type, and accepted staging system. These items should accompany the tumor_stage value as associated metadata.
diag__days_to_last_follow_up: FLOAT | Time interval from the date of last follow up to the date of initial pathologic diagnosis, represented as a calculated number of days.
demo__demographic_id: TEXT | GDC-assigned identifier for a case's demographic data.
exp__state: TEXT | The current state of the object.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__secondary_gleason_grade: TEXT | The text term used to describe the secondary Gleason score, which describes the pattern of cells making up the second largest area of the tumor. The primary and secondary Gleason pattern grades are combined to determine the patient's Gleason grade group, which is used to determine the aggresiveness of prostate cancer. Note that this grade describes the entire prostatectomy specimen and is not specific to the sample used for sequencing.
demo__gender: TEXT | Text designations that identify gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles. [Explanatory Comment 1: Identification of gender is based upon self-report and may come from a form, questionnaire, interview, etc.]
diag__ann_arbor_extranodal_involvement: TEXT | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
diag__figo_stage: TEXT | The extent of a cervical or endometrial cancer within the body, especially whether the disease has spread from the original site to other parts of the body, as described by the International Federation of Gynecology and Obstetrics (FIGO) stages.
demo__vital_status: TEXT | The survival state of the person registered on the protocol.
diag__icd_10_code: TEXT | Alphanumeric value used to describe the disease code from the tenth version of the International Classification of Disease (ICD-10).
demo__days_to_birth: NUMBER | Number of days between the date used for index and the date from a person's date of birth represented as a calculated negative number of days.
diag__ajcc_pathologic_stage: TEXT | The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.
proj__project_id: TEXT | GDC-assigned identifier for the project to which a case belongs.
diag__state: TEXT | The current state of the object.
exp__height: FLOAT | The height of the patient in centimeters.
exp__exposure_id: TEXT | GDC-assigned identifier for a case's exposure data.
diag__ann_arbor_clinical_stage: TEXT | The text term used to describe the clinical classification of lymphoma, as defined by the Ann Arbor Lymphoma Staging System.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__ajcc_clinical_n: TEXT | Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
proj__name: TEXT | Display name for the project to which a case belongs.
diag__treat__count: NUMBER | Total record count in cases.diagnoses.treatments mapping table.
diag__synchronous_malignancy: TEXT | A yes/no/unknown indicator used to describe whether the patient had an additional malignant diagnosis at the same time the tumor used for sequencing was diagnosed. If both tumors were sequenced, both tumors would have synchronous malignancies.
diag__ajcc_clinical_t: TEXT | Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.
diag__masaoka_stage: TEXT | The text term used to describe the Masaoka staging system, a classification that defines prognostic indicators for thymic malignancies and predicts tumor recurrence.
exp__pack_years_smoked: FLOAT | Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.
diag__last_known_disease_status: TEXT | Text term that describes the last known state or condition of an individual's neoplasm.
exp__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_CPTAC_TCGA_PDC_V2_14
file_format: TEXT | File format of the underlying data (eg BCR XML, BAM)
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
file_location: TEXT | Physical location of the file on the server
data_category: TEXT | Category description of the underlying data (e.g. Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling)
project_short_name: TEXT | Project name abbreviation (e.g. pediatric_brain_cancer)
access: TEXT | Data accessibility policy (open or controlled)
sample_type: TEXT | Text term to describe the source of a biospecimen used for a laboratory test
file_type: TEXT | File type (e.g. aligned_reads, simple_somatic_mutation, gene_expression)
file_name: TEXT | Name of file in PDC
program_name: TEXT | Name of the data's source program
project_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific project (e.g. CPTAC3-Discovery)
file_size: NUMBER | The size of the file measured in bytes
program_short_name: TEXT | Program name abbreviation (e.g. CPTAC)
file_id: TEXT | An identifier (UUID) to uniquely identify the file in PDC (e.g. 795dd383-5efd-484b-9c2f-f061ae617fc7)
sample_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific sample (e.g. Tumor Pat1)
experiment_type: TEXT | General strategy used for differential analysis
case_submitter_id: TEXT | Unique identifier deriving from the data submitter that is associated with a specific patient (e.g. 05BR016)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
instrument: TEXT | Make and model of the mass spectrometry instrument

## TCGA_VERSIONED.DNA_METHYLATION_CHR20_HG19_GDC_2017_01
probe_id: TEXT | Unique probe identifier (eg cg04676771) from the Illumina Human Methylation array -- please refer to the annotation table (isb-cgc:platform_reference.methylation_annotation) for more details about any particular probe
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
beta_value: FLOAT | Normalized DNA methylation beta value (between 0 and 1, where 0 indicates completely un-methylated and 1 indicates fully methylated)
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_BREAST_CANCER_PDC_V1_21
assays: TEXT | CPTAC Assay accessions for the peptides associated with the gene
locus: TEXT | Gene cytoband, sourced by PDC from NCBI
organism: TEXT | Gene organism, sourced by PDC from NCBI
authority_gene_id: TEXT | Unique identifier assigned by authority (e.g. HGNC)
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
protein_abundance_log2ratio: FLOAT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
proteins: TEXT | Semi-colon separated list of protein accessions associated with the gene; includes identifiers from multiple sources (e.g. UniProt, NCBI RefSeq database)
aliquot_submitter_id: TEXT | Aliquot submitter id assigned by program (e.g. T14)
NCBI_gene_id: TEXT | NCBI gene identifier
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI
aliquot_id: TEXT | Unique PDC identifier for this aliquot (e.g. e8db124a-693a-11ea-b1fd-0aad30af8a83)
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
gene_symbol: TEXT | Gene symbol, sourced by PDC from NCBI
gene_id: TEXT | Unique gene identifier assigned by PDC
study_name: TEXT | Name of the study (e.g. Pediatric Brain Cancer Pilot Study - Phosphoproteome)
uniprotkb_id: TEXT | Oldest UniProt id found in 'proteins' column list, derived programmatically
uniprotkb_ids: TEXT | Every UniProt id found in 'proteins' column list
chromosome: TEXT | NCBI gene chromosome
authority: TEXT | Designating authority for the gene id
aliquot_run_metadata_id: TEXT | Uniquely identifies the aliquot by how it was used in the experiment (based on the labelling reagent and/or biological replicate)

## TCGA_VERSIONED.MASKED_SOMATIC_MUTATION_HG38_GDC_R39
tumor_submitter_uuid: TEXT | Unique GDC identifier for the tumor file submitter
CCDS: TEXT | The  CCDS identifier for this transcript, where applicable
dbSNP_RS: TEXT | The rs-IDs from the   dbSNP database, novel if not found in any database used, or null if there is no dbSNP record, but it is found in other databases
GDC_FILTER: TEXT | GDC filters applied universally across all MAFs
n_alt_count: TEXT | Read depth supporting the variant allele in normal BAM (cleared in somatic MAF)
hotspot: BOOLEAN | A flag indicating if the variant is a known hotspot (Y, N, or null)
COSMIC: TEXT | Overlapping COSMIC variants
Score: TEXT | Not in use
UNIPARC: TEXT | UniParc identifier of protein product
Allele: TEXT | The variant allele used to calculate the consequence
Matched_Norm_Aliquot_Barcode: TEXT | Aliquot barcode for the matched normal sample
t_alt_count: NUMBER | Read depth supporting the variant allele in tumor BAM
aliquot_barcode_normal: TEXT | TCGA aliquot barcode for the normal control, eg TCGA-12-1089-01A-01D-0517-01]
